Country,Classification,Classification Criteria
Canada,Global North,"Included in predefined list of Global North nations (High Income/Developed)"
Italy,Global North,"Included in predefined list of Global North nations (High Income/Developed)"
New Zealand,Global North,"Included in predefined list of Global North nations (High Income/Developed)"
USA,Global North,"Included in predefined list of Global North nations (High Income/Developed)"
Ecuador,Global South,"Not in Global North list (Developing/Emerging Economy)"
Haiti,Global South,"Not in Global North list (Developing/Emerging Economy)"
Mexico,Global South,"Not in Global North list (Developing/Emerging Economy)"
Mozambique,Global South,"Not in Global North list (Developing/Emerging Economy)"
Puerto Rico,Global South,"Not in Global North list (Developing/Emerging Economy)"
Sri Lanka,Global South,"Not in Global North list (Developing/Emerging Economy)"
